Signal,ModelName,AUC,S1e-2,S1e-3,S1e-4
glgl1400_neutralino1100_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.6390536560431889,0.1084912109375,0.0565697021484375,0.029610302734375
glgl1600_neutralino800_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.7189790109968321,0.11166434216643421,0.05117796373779637,0.02613870757787076
monojet_Zp2000.0_DM_50.0_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.5905373898866568,0.08141592920353982,0.035398230088495575,0.021238938053097345
monotop_200_A_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.7171283312365291,0.13358001265022137,0.06667868437697659,0.038583175205566096
sqsq1_sq1400_neut800_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.7346345390959946,0.16419362685477987,0.06590440282169789,0.035791425443930915
sqsq_sq1800_neut800_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.7481077988045148,0.16335931963146705,0.06301842664776755,0.03188990077958894
stlp_st1000_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.9319679736320399,0.6007582405219936,0.19637417032287097,0.07753818202272472
stop2b1000_neutralino300_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.811883945925987,0.16985800833017797,0.07421431276031806,0.039568345323741004
chaneut_cha200_neut50_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.4772276024150087,0.0,0.0,0.0
chaneut_cha250_neut150_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.47159827166062984,0.0,0.0,0.0
chaneut_cha300_neut100_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.5437024253146738,0.003215434083601286,0.0,0.0
chaneut_cha400_neut200_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.5202030928979955,0.002777777777777778,0.0,0.0
gluino_1000.0_neutralino_1.0_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.8817412305147942,0.24122007278299176,0.03276402987933347,0.0024899444550852325
pp23mt_50_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.4468868355078659,0.002066115702479339,0.0,0.0
pp24mt_50_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.47443191918983646,0.00449616503570484,0.0005289605924358636,0.0
chacha_cha300_neut140_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.5097320106920842,0.08270676691729323,0.03609022556390978,0.021052631578947368
chacha_cha400_neut60_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.5914617689278343,0.12131919905771496,0.056940321947389086,0.03297997644287397
chacha_cha600_neut200_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.6305443919504001,0.15269709543568466,0.05394190871369295,0.028215767634854772
chaneut_cha200_neut50_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.5911094453568626,0.06939854593522803,0.03502974223397224,0.021150033046926635
chaneut_cha250_neut150_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.45732147940315526,0.04869186046511628,0.02616279069767442,0.013905692829457365
gluino_1000.0_neutralino_1.0_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.9428857646577419,0.5588136519704139,0.3074717035923541,0.1690677661809672
pp23mt_50_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.5420607346308506,0.10082304526748971,0.06319811875367431,0.04379776601998824
pp24mt_50_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.6353843011228604,0.11486880809507001,0.06094834686433698,0.03812530885986586
stlp_st1000_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.9488491163355566,0.5813745780126229,0.29346315866725375,0.1471181711434023
glgl1400_neutralino1100_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6504710047517995,0.06162348163568575,0.037452888637448674,0.03503582933762497
glgl1600_neutralino800_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6390552021027945,0.052973794833355244,0.03133047828533201,0.029166146630529684
gluino_1000.0_neutralino_1.0_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6100144642044567,0.1010277318041114,0.08758874198240563,0.08624484300023505
monoV_Zp2000.0_DM_1.0_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.4999423138426215,0.10466699062344835,0.09955683395999566,0.0990458182936504
monojet_Zp2000.0_DM_50.0_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.4880632979607864,0.07298649321879612,0.06789005772781914,0.06738041417872144
monotop_200_A_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.5710610016458311,0.05767336984629587,0.0443680627920256,0.04303753208659857
sqsq1_sq1400_neut800_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6484499252546636,0.06523454109230643,0.0416559451665985,0.039298085574027704
sqsq_sq1800_neut800_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.5236803141424199,0.04504361041937127,0.035157135622383234,0.03416848814268444
stlp_st1000_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6527024097587181,0.06365946912542986,0.04022185724035389,0.03787809605184629
stop2b1000_neutralino300_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6464702548835071,0.05943687161563566,0.03498183290435059,0.03253632903322208
