Signal,ModelName,AUC,S1e-2,S1e-3,S1e-4
glgl1400_neutralino1100_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.6390536560431889,0.1084912109375,0.0565697021484375,0.029610302734375
glgl1600_neutralino800_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.7189790109968321,0.11166434216643421,0.05117796373779637,0.02613870757787076
monojet_Zp2000.0_DM_50.0_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.5905373898866568,0.08141592920353982,0.035398230088495575,0.021238938053097345
monotop_200_A_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.7171283312365291,0.13358001265022137,0.06667868437697659,0.038583175205566096
sqsq1_sq1400_neut800_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.7346345390959946,0.16419362685477987,0.06590440282169789,0.035791425443930915
sqsq_sq1800_neut800_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.7481077988045148,0.16335931963146705,0.06301842664776755,0.03188990077958894
stlp_st1000_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.9319679736320399,0.6007582405219936,0.19637417032287097,0.07753818202272472
stop2b1000_neutralino300_chan1,DeepSetVAE_beta_1.0_weight_1.0,0.811883945925987,0.16985800833017797,0.07421431276031806,0.039568345323741004
chaneut_cha200_neut50_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.4772276024150087,0.0,0.0,0.0
chaneut_cha250_neut150_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.47159827166062984,0.0,0.0,0.0
chaneut_cha300_neut100_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.5437024253146738,0.003215434083601286,0.0,0.0
chaneut_cha400_neut200_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.5202030928979955,0.002777777777777778,0.0,0.0
gluino_1000.0_neutralino_1.0_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.8817412305147942,0.24122007278299176,0.03276402987933347,0.0024899444550852325
pp23mt_50_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.4468868355078659,0.002066115702479339,0.0,0.0
pp24mt_50_chan2a,DeepSetVAE_beta_1.0_weight_1.0,0.47443191918983646,0.00449616503570484,0.0005289605924358636,0.0
chacha_cha300_neut140_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.5097320106920842,0.08270676691729323,0.03609022556390978,0.021052631578947368
chacha_cha400_neut60_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.5914617689278343,0.12131919905771496,0.056940321947389086,0.03297997644287397
chacha_cha600_neut200_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.6305443919504001,0.15269709543568466,0.05394190871369295,0.028215767634854772
chaneut_cha200_neut50_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.5911094453568626,0.06939854593522803,0.03502974223397224,0.021150033046926635
chaneut_cha250_neut150_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.45732147940315526,0.04869186046511628,0.02616279069767442,0.013905692829457365
