Signal,ModelName,AUC,S1e-2,S1e-3,S1e-4
glgl1400_neutralino1100_chan1,DeepSetVAE_beta_0.001_weight_1.0,0.690308546150614,0.055908203125,0.006512695312500002,0.0
glgl1600_neutralino800_chan1,DeepSetVAE_beta_0.001_weight_1.0,0.6768715319838058,0.05783356578335658,0.004990794979079499,0.0
monojet_Zp2000.0_DM_50.0_chan1,DeepSetVAE_beta_0.001_weight_1.0,0.5353437337704057,0.034513274336283185,0.003958407079646018,0.0
monotop_200_A_chan1,DeepSetVAE_beta_0.001_weight_1.0,0.6509968464809495,0.058823529411764705,0.011385199240986717,0.0
sqsq1_sq1400_neut800_chan1,DeepSetVAE_beta_0.001_weight_1.0,0.7354530186866262,0.09146193140355145,0.008270493797129653,0.00048649963512527365
sqsq_sq1800_neut800_chan1,DeepSetVAE_beta_0.001_weight_1.0,0.6235469667356216,0.059532246633593196,0.004961020552799433,0.0
stlp_st1000_chan1,DeepSetVAE_beta_0.001_weight_1.0,0.8514842926011583,0.2375430307121161,0.038016987287658906,0.004612442344470694
stop2b1000_neutralino300_chan1,DeepSetVAE_beta_0.001_weight_1.0,0.7953233202714933,0.12676448315032182,0.01836425596365013,0.001893222264293828
chaneut_cha200_neut50_chan2a,DeepSetVAE_beta_0.001_weight_1.0,0.3994399196797997,0.0045045045045045045,0.0,0.0
chaneut_cha250_neut150_chan2a,DeepSetVAE_beta_0.001_weight_1.0,0.4071106039900404,0.004424778761061947,0.0,0.0
chaneut_cha300_neut100_chan2a,DeepSetVAE_beta_0.001_weight_1.0,0.4597628838313962,0.006430868167202572,0.003215434083601286,0.0
chaneut_cha400_neut200_chan2a,DeepSetVAE_beta_0.001_weight_1.0,0.4597826086956522,0.009729166666666667,0.0,0.0
gluino_1000.0_neutralino_1.0_chan2a,DeepSetVAE_beta_0.001_weight_1.0,0.8601571173807847,0.1149473280980655,0.00976824363148822,0.0011492051331162612
pp23mt_50_chan2a,DeepSetVAE_beta_0.001_weight_1.0,0.3684609141710137,0.0037640200708382527,0.0010330578512396695,0.0
pp24mt_50_chan2a,DeepSetVAE_beta_0.001_weight_1.0,0.4463851782122692,0.0030864850568632636,0.0,0.0
chacha_cha300_neut140_chan2b,DeepSetVAE_beta_0.001_weight_1.0,0.4393786358510966,0.015037593984962405,0.0015037593984962407,0.0
chacha_cha400_neut60_chan2b,DeepSetVAE_beta_0.001_weight_1.0,0.5196802940698066,0.024734982332155476,0.005167228825356034,0.001177856301531213
chacha_cha600_neut200_chan2b,DeepSetVAE_beta_0.001_weight_1.0,0.5326196904654797,0.03196534049304369,0.003913870776526379,0.0008298755186721991
chaneut_cha200_neut50_chan2b,DeepSetVAE_beta_0.001_weight_1.0,0.5673715020172445,0.026437541308658295,0.004626569729015202,0.0006609385327164573
chaneut_cha250_neut150_chan2b,DeepSetVAE_beta_0.001_weight_1.0,0.4520101833461936,0.01671881856077227,0.0031359426910299005,0.0
gluino_1000.0_neutralino_1.0_chan2b,DeepSetVAE_beta_0.001_weight_1.0,0.9398560992800848,0.17097418902991066,0.01246989289557746,0.0013153174698074853
pp23mt_50_chan2b,DeepSetVAE_beta_0.001_weight_1.0,0.42530096833052333,0.01557907113462669,0.003233392122281011,0.00029394473838918284
pp24mt_50_chan2b,DeepSetVAE_beta_0.001_weight_1.0,0.5715696697645056,0.03180021178962231,0.0070596540769502295,0.0005883045064125191
stlp_st1000_chan2b,DeepSetVAE_beta_0.001_weight_1.0,0.837243868353634,0.07937912813738442,0.00932041685013944,0.001100836635843241
glgl1400_neutralino1100_chan3,DeepSetVAE_beta_0.001_weight_1.0,0.7999013215362122,0.10427468602373545,0.0282290586473096,0.0012674271229404308
glgl1600_neutralino800_chan3,DeepSetVAE_beta_0.001_weight_1.0,0.8116588708469537,0.11410432395332876,0.0296918056172366,0.0012010981468771448
gluino_1000.0_neutralino_1.0_chan3,DeepSetVAE_beta_0.001_weight_1.0,0.9729099683988031,0.5901186259774772,0.17318644274543118,0.014035374327473916
monoV_Zp2000.0_DM_1.0_chan3,DeepSetVAE_beta_0.001_weight_1.0,0.6670240918885652,0.15751633986928104,0.1230392156862745,0.00758843137254902
monojet_Zp2000.0_DM_50.0_chan3,DeepSetVAE_beta_0.001_weight_1.0,0.6606160403061239,0.13345835286763558,0.10110954836693234,0.005994733552117519
monotop_200_A_chan3,DeepSetVAE_beta_0.001_weight_1.0,0.7205871235762189,0.11127943809392646,0.04861589312766836,0.005233438920258918
sqsq1_sq1400_neut800_chan3,DeepSetVAE_beta_0.001_weight_1.0,0.836033886259842,0.1519916142557652,0.04428721174004193,0.005241090146750524
sqsq_sq1800_neut800_chan3,DeepSetVAE_beta_0.001_weight_1.0,0.7274041198644385,0.12138272717036369,0.07003715797770521,0.0040535975678414595
stlp_st1000_chan3,DeepSetVAE_beta_0.001_weight_1.0,0.9084281918720677,0.3213462287031769,0.12060963559601162,0.04152715513369464
stop2b1000_neutralino300_chan3,DeepSetVAE_beta_0.001_weight_1.0,0.8907347141145561,0.23086034241412728,0.05816480384767237,0.008398837084096049
