Signal,ModelName,AUC,S1e-2,S1e-3,S1e-4
glgl1400_neutralino1100_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.6417282890263901,0.078369140625,0.0205078125,0.00732421875
glgl1600_neutralino800_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.729214421803276,0.09056252905625291,0.02287308228730823,0.007717340771734077
monojet_Zp2000.0_DM_50.0_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.6298306399867457,0.06814159292035399,0.016937758112094397,0.009734513274336283
monotop_200_A_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.7105678487055022,0.11068943706514864,0.036685641998734975,0.010120177103099304
sqsq1_sq1400_neut800_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.7411740513373521,0.1347603989297008,0.03547506689369983,0.013865239601070299
sqsq_sq1800_neut800_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.7605486746518099,0.1683876683203402,0.0387735648476258,0.013465627214741318
stlp_st1000_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.92561510939468,0.5935639554505568,0.1657242659466757,0.052279165260434246
stop2b1000_neutralino300_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.802657773280345,0.15372964786065885,0.042029534267322984,0.01609238924649754
chaneut_cha200_neut50_chan2a,DeepSetVAE_beta_1.0_weight_10.0,0.4698360279319799,0.0045045045045045045,0.0,0.0
chaneut_cha250_neut150_chan2a,DeepSetVAE_beta_1.0_weight_10.0,0.46886070239216676,0.0,0.0,0.0
chaneut_cha300_neut100_chan2a,DeepSetVAE_beta_1.0_weight_10.0,0.5647899522907357,0.00964630225080386,0.0,0.0
chaneut_cha400_neut200_chan2a,DeepSetVAE_beta_1.0_weight_10.0,0.5264444166805486,0.008333333333333333,0.0,0.0
gluino_1000.0_neutralino_1.0_chan2a,DeepSetVAE_beta_1.0_weight_10.0,0.8433631776335544,0.21649875502777244,0.049430760390729744,0.029879333461022794
pp23mt_50_chan2a,DeepSetVAE_beta_1.0_weight_10.0,0.48985708591985,0.008264462809917356,0.002066115702479339,0.0010330578512396695
pp24mt_50_chan2a,DeepSetVAE_beta_1.0_weight_10.0,0.45287624635183066,0.00952790267125099,0.0023807193864057124,0.0015868817773075905
chacha_cha300_neut140_chan2b,DeepSetVAE_beta_1.0_weight_10.0,0.4802630639843503,0.081203007518797,0.05715639097744361,0.039097744360902256
chacha_cha400_neut60_chan2b,DeepSetVAE_beta_1.0_weight_10.0,0.575136878588378,0.09658421672555949,0.0636042402826855,0.04558462897526502
chacha_cha600_neut200_chan2b,DeepSetVAE_beta_1.0_weight_10.0,0.6081905789483504,0.1087136929460581,0.05726141078838174,0.039586182572614106
chaneut_cha200_neut50_chan2b,DeepSetVAE_beta_1.0_weight_10.0,0.5711558204109558,0.08526107072042301,0.050892267019167214,0.037476107072042304
chaneut_cha250_neut150_chan2b,DeepSetVAE_beta_1.0_weight_10.0,0.436882576063058,0.06177325581395349,0.03746988049095607,0.028635683139534882
gluino_1000.0_neutralino_1.0_chan2b,DeepSetVAE_beta_1.0_weight_10.0,0.9748515478942549,0.6711862910894358,0.3837608855332161,0.1880649237286688
pp23mt_50_chan2b,DeepSetVAE_beta_1.0_weight_10.0,0.5005626173301843,0.09200470311581423,0.06878306878306878,0.05158928571428571
pp24mt_50_chan2b,DeepSetVAE_beta_1.0_weight_10.0,0.602756758920635,0.10424755853629838,0.07012589716437227,0.05067399694081657
stlp_st1000_chan2b,DeepSetVAE_beta_1.0_weight_10.0,0.9639884266019898,0.6066581046039434,0.3080516659327756,0.1386312050491707
glgl1400_neutralino1100_chan3,DeepSetVAE_beta_1.0_weight_10.0,0.6808156782920762,0.08573117824135976,0.014342609491503767,0.0034730740452303508
glgl1600_neutralino800_chan3,DeepSetVAE_beta_1.0_weight_10.0,0.6608109533930414,0.0835210972641897,0.01355265093501773,0.0031613198159832186
gluino_1000.0_neutralino_1.0_chan3,DeepSetVAE_beta_1.0_weight_10.0,0.9327808038460569,0.49850947453387434,0.1515187676097452,0.06147441539535912
monoV_Zp2000.0_DM_1.0_chan3,DeepSetVAE_beta_1.0_weight_10.0,0.47881776171398416,0.09135256278307324,0.08220323777574463,0.08100330970942594
monojet_Zp2000.0_DM_50.0_chan3,DeepSetVAE_beta_1.0_weight_10.0,0.46911001608911057,0.05538858703610387,0.04755579175440124,0.04508212390113666
monotop_200_A_chan3,DeepSetVAE_beta_1.0_weight_10.0,0.5569919201726498,0.03751612186426936,0.010928677478710725,0.005054576106381178
sqsq1_sq1400_neut800_chan3,DeepSetVAE_beta_1.0_weight_10.0,0.71247276827554,0.11560387643469464,0.02030588522156433,0.003952919855522719
sqsq_sq1800_neut800_chan3,DeepSetVAE_beta_1.0_weight_10.0,0.5102034101308857,0.029911710347329888,0.009323280381146135,0.005053830093485076
stlp_st1000_chan3,DeepSetVAE_beta_1.0_weight_10.0,0.6845313900577004,0.09837207665507307,0.01704066066384112,0.003973429111842164
stop2b1000_neutralino300_chan3,DeepSetVAE_beta_1.0_weight_10.0,0.7212859707296784,0.12486122324009316,0.02213056313112083,0.0053572764623693436
